Player,Team,position,game_id,game_date,home_team,away_team,G,A1,A2,PTS,PrPTS,GS,SOG,eGF,eGA,GF.,PPG,PPA1,PPA2,SHG,SHA1,SHA2,FOW,FOL,PIM,Blk,TO,SV,GA
Meagan Mangene,BOS,D|F,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey  Stearns,BOS,F,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,0.59,1,0,0,NA,0,0,0,0,0,0,12,8,0,0,0,0,0
Corinne Buie,BUF,F,18507435,2017-12-03,BOS,BUF,0,0,1,1,0,0.63,1,0,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0
Dana Trivigno,BOS,F,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,-0.18,1,0,0,NA,0,0,0,0,0,0,0,1,2,0,0,0,0
Emily Field,BOS,F,18507435,2017-12-03,BOS,BUF,0,0,1,1,0,0.75,1,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0
Hayley  Scamurra,BUF,F,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,-0.18,1,0,0,NA,0,0,0,0,0,0,0,1,2,0,0,0,0
Janine Weber,BOS,F,18507435,2017-12-03,BOS,BUF,0,1,0,1,1,1.29,2,0,0,NA,0,0,0,0,0,0,8,3,2,0,0,0,0
Jess Jones,BUF,F,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,0.33999999999999997,2,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0
Jillian Dempsey,BOS,F,18507435,2017-12-03,BOS,BUF,0,1,0,1,1,0.9600000000000001,4,0,0,NA,0,1,0,0,0,0,10,11,0,0,0,0,0
Jordan Smelker,BOS,F,18507435,2017-12-03,BOS,BUF,1,0,0,1,1,1.11,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
Katherine Donohue,BUF,F,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,-0.25,1,0,0,NA,0,0,0,0,0,0,1,4,0,0,0,0,0
Kathryn Tomaselli,BOS,F,18507435,2017-12-03,BOS,BUF,0,0,1,1,0,0.75,1,0,0,NA,0,0,0,0,0,0,1,1,0,0,1,0,0
Kaylyn  Schroka,BUF,F,18507435,2017-12-03,BOS,BUF,0,1,0,1,1,0.97,3,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0
Kristin Lewicki,BUF,F,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,-0.009999999999999995,1,0,0,NA,0,0,0,0,0,0,10,11,0,0,0,0,0
Mary Parker,BOS,F,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,0.33,3,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
Michaela Levine,BOS,F,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
Rebecca  Vint,BUF,F,18507435,2017-12-03,BOS,BUF,1,0,0,1,1,0.8099999999999999,2,0,0,NA,1,0,0,0,0,0,8,10,2,1,0,0,0
Taylor Accursi,BUF,F,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,4,4,0,0,0,0,0
Amanda Leveille,BUF,G,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,1.62,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,33,3
Brittany Ott,BOS,G,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,1.7800000000000002,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,27,2
 Kelsey  Koelzer,MET,D,18507437,2017-12-17,BOS,MET,0,0,1,1,0,0.75,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Alyssa Gagliardi,BOS,D,18507437,2017-12-17,BOS,MET,0,0,0,0,0,-0.010000000000000009,3,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0
Ashley Johnston,MET,D,18507437,2017-12-17,BOS,MET,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Courtney Burke,MET,D,18507437,2017-12-17,BOS,MET,0,1,0,1,1,1.3,6,1,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0
Jenny Ryan,MET,D,18507437,2017-12-17,BOS,MET,1,0,0,1,1,1.22,2,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0
Kaliya Johnson,BOS,D,18507437,2017-12-17,BOS,MET,0,0,0,0,0,0.11,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiira Dosdall,MET,D,18507437,2017-12-17,BOS,MET,0,0,0,0,0,0.33,3,1,1,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0
Lexi Bender,BOS,D,18507437,2017-12-17,BOS,MET,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
Marissa Gedman,BOS,D,18507437,2017-12-17,BOS,MET,0,0,0,0,0,0.11,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Michelle Picard,MET,D,18507437,2017-12-17,BOS,MET,0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
Paige Harrington,BOS,D,18507437,2017-12-17,BOS,MET,0,0,1,1,0,0.47,0,1,1,0.5,0,0,0,0,0,0,0,0,2,2,0,0,0
Rebecca Morse,MET,D,18507437,2017-12-17,BOS,MET,0,0,0,0,0,0.1,2,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0
Meagan Mangene,BOS,D|F,18507437,2017-12-17,BOS,MET,1,0,0,1,1,1.1600000000000001,3,1,1,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0
Alexa Gruschow,MET,F,18507437,2017-12-17,BOS,MET,1,1,0,2,2,2.3000000000000003,1,2,1,0.6666666666666666,0,0,0,0,0,0,12,6,2,2,0,0,0
