Player,Team,position,GP,G,A1,A2,OPS,DPS,PS,Season
Kaliya Johnson,BOS,D,14,0,0,2,-0.13,0.78,0.66,2017
Katherine Donohue,BUF,F,6,1,0,0,-0.12,0.12,-0,2017
Kathryn Tomaselli,BOS,F,8,0,2,1,-0.13,0.11,-0.02,2017
Kaycie Anderson,CTW,F,10,1,1,0,-0.22,0.1,-0.12,2017
Kayla Parsons,BUF,D,2,0,0,0,-0.05,0.15,0.1,2017
Kaylyn  Schroka,BUF,F,13,4,4,2,0.91,0.25,1.16,2017
Kelly Babstock,CTW,F,13,4,2,3,0.85,0.13,0.98,2017
Kelly Nash,MET,F,8,2,1,2,0.34,0.23,0.57,2017
Kiira Dosdall,MET,D,15,0,6,2,0.55,1.72,2.27,2017
Kourtney Kunichika,BUF,F,13,3,7,2,1.03,0.25,1.28,2017
Kristin Lewicki,BUF,F,13,5,2,0,0.67,0.25,0.92,2017
Lauren Wash,MET,F,5,1,0,0,-0.06,0.14,0.08,2017
Lexi Bender,BOS,D,15,0,0,1,-0.27,0.84,0.57,2017
Lindsey Hylwa,MET,F,2,0,0,0,-0.12,0.06,-0.06,2017
Lisa Chesson,BUF,D,12,1,0,4,0.42,0.92,1.34,2017
Maddie  Elia,BUF,F,13,4,5,3,1.15,0.25,1.4,2017
Madison Packer,MET,F,11,10,7,1,2.62,0.32,2.94,2017
Mallory Souliotis,BOS,D,2,0,0,0,-0.05,0.11,0.06,2017
Marissa Gedman,BOS,D,9,0,0,0,-0.23,0.5,0.27,2017
Mary Parker,BOS,F,13,1,2,0,-0.31,0.18,-0.13,2017
Meagan Mangene,BOS,F,14,2,1,0,-0.25,0.2,-0.06,2017
Meghan   Huertas,CTW,F,7,2,2,0,0.33,0.07,0.4,2017
Michaela Levine,BOS,F,4,0,0,0,-0.24,0.06,-0.18,2017
Michelle Picard,MET,D,15,0,1,3,0.09,1.72,1.8,2017
Miye D'Oench,MET,F,9,7,5,1,1.81,0.26,2.06,2017
Paige Harrington,BOS,D,14,0,2,1,-0.01,0.78,0.78,2017
Paige Savage,CTW,F,4,0,0,0,-0.24,0.04,-0.2,2017
Rachael Ade,CTW,D,14,0,0,2,-0.11,0.56,0.45,2017
Rebecca  Vint,BUF,F,12,3,1,2,0.37,0.23,0.6,2017
Rebecca Morse,MET,D,11,1,0,0,-0.05,1.26,1.21,2017
Rebecca Russo,MET,F,15,8,6,2,1.92,0.43,2.35,2017
Sam Donovan,CTW,F,2,0,0,1,0.01,0.02,0.03,2017
Sam Faber,CTW,F,12,3,2,0,0.28,0.12,0.4,2017
Sarah  Edney,BUF,D,14,3,2,1,0.73,1.07,1.8,2017
Sarah Casorso,BUF,D,13,0,3,5,0.63,1,1.63,2017
Sarah Shureb,BUF,F,6,1,0,0,-0.12,0.12,-0,2017
Shannon Doyle,CTW,D,14,0,2,3,0.27,0.56,0.83,2017
Stephanie  Mock,CTW,F,9,0,0,0,-0.54,0.09,-0.45,2017
Sydney   Daniels,BOS,F,4,3,0,0,0.46,0.06,0.51,2017
Tatiana Rafter,MET,F,15,4,1,1,0.28,0.43,0.71,2017
Taylor Accursi,BUF,F,14,6,3,1,1.09,0.27,1.36,2017
